dia,mes,ano,municipio,uf_x,areakm,uf_y,vazao,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
5,8,1991,rio branco,,20.343714764224202,AC,71.1,,,,,,,,,,,,,,,,,
6,8,1991,rio branco,,20.343714764224202,AC,87.51,,,,,,,,,,,,,,,,,
7,8,1991,rio branco,,20.343714764224202,AC,87.51,,,,,,,,,,,,,,,,,
8,8,1991,rio branco,,20.343714764224202,AC,76.81,,,,,,,,,,,,,,,,,
9,8,1991,rio branco,,20.343714764224202,AC,70.53,,,,,,,,,,,,,,,,,
10,8,1991,rio branco,,20.343714764224202,AC,67.2,,,,,,,,,,,,,,,,,
11,8,1991,rio branco,,20.343714764224202,AC,64.47,,,,,,,,,,,,,,,,,
12,8,1991,rio branco,,20.343714764224202,AC,61.78,,,,,,,,,,,,,,,,,
13,8,1991,rio branco,,20.343714764224202,AC,60.18,,,,,,,,,,,,,,,,,
14,8,1991,rio branco,,20.343714764224202,AC,58.08,,,,,,,,,,,,,,,,,
15,8,1991,rio branco,,20.343714764224202,AC,56.53,,,,,,,,,,,,,,,,,
16,8,1991,rio branco,,20.343714764224202,AC,56.53,,,,,,,,,,,,,,,,,
17,8,1991,rio branco,,20.343714764224202,AC,56.01,,,,,,,,,,,,,,,,,
18,8,1991,rio branco,,20.343714764224202,AC,54.48,,,,,,,,,,,,,,,,,
19,8,1991,rio branco,,20.343714764224202,AC,53.47,,,,,,,,,,,,,,,,,
20,8,1991,rio branco,,20.343714764224202,AC,53.47,,,,,,,,,,,,,,,,,
21,8,1991,rio branco,,20.343714764224202,AC,51.96,,,,,,,,,,,,,,,,,
22,8,1991,rio branco,,20.343714764224202,AC,50.97,,,,,,,,,,,,,,,,,
23,8,1991,rio branco,,20.343714764224202,AC,49.98,,,,,,,,,,,,,,,,,
24,8,1991,rio branco,,20.343714764224202,AC,49.0,,,,,,,,,,,,,,,,,
25,8,1991,rio branco,,20.343714764224202,AC,48.02,,,,,,,,,,,,,,,,,
26,8,1991,rio branco,,20.343714764224202,AC,46.1,,,,,,,,,,,,,,,,,
27,8,1991,rio branco,,20.343714764224202,AC,46.1,,,,,,,,,,,,,,,,,
28,8,1991,rio branco,,20.343714764224202,AC,46.1,,,,,,,,,,,,,,,,,
29,8,1991,rio branco,,20.343714764224202,AC,45.62,,,,,,,,,,,,,,,,,
30,8,1991,rio branco,,20.343714764224202,AC,46.58,,,,,,,,,,,,,,,,,
31,8,1991,rio branco,,20.343714764224202,AC,46.58,,,,,,,,,,,,,,,,,
1,9,1991,rio branco,,20.343714764224202,AC,46.58,,,,,,,,,,,,,,,,,
2,9,1991,rio branco,,20.343714764224202,AC,46.58,,,,,,,,,,,,,,,,,
3,9,1991,rio branco,,20.343714764224202,AC,46.1,,,,,,,,,,,,,,,,,
4,9,1991,rio branco,,20.343714764224202,AC,46.1,,,,,,,,,,,,,,,,,
5,9,1991,rio branco,,20.343714764224202,AC,45.15,,,,,,,,,,,,,,,,,
6,9,1991,rio branco,,20.343714764224202,AC,43.74,,,,,,,,,,,,,,,,,
7,9,1991,rio branco,,20.343714764224202,AC,45.62,,,,,,,,,,,,,,,,,
8,9,1991,rio branco,,20.343714764224202,AC,49.0,,,,,,,,,,,,,,,,,
9,9,1991,rio branco,,20.343714764224202,AC,50.97,,,,,,,,,,,,,,,,,
10,9,1991,rio branco,,20.343714764224202,AC,58.08,,,,,,,,,,,,,,,,,
11,9,1991,rio branco,,20.343714764224202,AC,67.75,,,,,,,,,,,,,,,,,
12,9,1991,rio branco,,20.343714764224202,AC,71.1,,,,,,,,,,,,,,,,,
13,9,1991,rio branco,,20.343714764224202,AC,67.2,,,,,,,,,,,,,,,,,
14,9,1991,rio branco,,20.343714764224202,AC,64.47,,,,,,,,,,,,,,,,,
15,9,1991,rio branco,,20.343714764224202,AC,62.31,,,,,,,,,,,,,,,,,
16,9,1991,rio branco,,20.343714764224202,AC,60.18,,,,,,,,,,,,,,,,,
17,9,1991,rio branco,,20.343714764224202,AC,73.36,,,,,,,,,,,,,,,,,
18,9,1991,rio branco,,20.343714764224202,AC,65.01,,,,,,,,,,,,,,,,,
19,9,1991,rio branco,,20.343714764224202,AC,69.42,,,,,,,,,,,,,,,,,
20,9,1991,rio branco,,20.343714764224202,AC,75.08,,,,,,,,,,,,,,,,,
21,9,1991,rio branco,,20.343714764224202,AC,69.97,,,,,,,,,,,,,,,,,
22,9,1991,rio branco,,20.343714764224202,AC,60.18,,,,,,,,,,,,,,,,,
23,9,1991,rio branco,,20.343714764224202,AC,61.24,,,,,,,,,,,,,,,,,
24,9,1991,rio branco,,20.343714764224202,AC,61.78,,,,,,,,,,,,,,,,,
25,9,1991,rio branco,,20.343714764224202,AC,60.18,,,,,,,,,,,,,,,,,
26,9,1991,rio branco,,20.343714764224202,AC,57.05,,,,,,,,,,,,,,,,,
27,9,1991,rio branco,,20.343714764224202,AC,56.53,,,,,,,,,,,,,,,,,
28,9,1991,rio branco,,20.343714764224202,AC,66.65,,,,,,,,,,,,,,,,,
29,9,1991,rio branco,,20.343714764224202,AC,62.85,,,,,,,,,,,,,,,,,
30,9,1991,rio branco,,20.343714764224202,AC,67.75,,,,,,,,,,,,,,,,,
1,10,1991,rio branco,,20.343714764224202,AC,65.01,,,,,,,,,,,,,,,,,
2,10,1991,rio branco,,20.343714764224202,AC,64.47,,,,,,,,,,,,,,,,,
3,10,1991,rio branco,,20.343714764224202,AC,66.65,,,,,,,,,,,,,,,,,
4,10,1991,rio branco,,20.343714764224202,AC,64.47,,,,,,,,,,,,,,,,,
5,10,1991,rio branco,,20.343714764224202,AC,61.78,,,,,,,,,,,,,,,,,
6,10,1991,rio branco,,20.343714764224202,AC,60.18,,,,,,,,,,,,,,,,,
7,10,1991,rio branco,,20.343714764224202,AC,58.08,,,,,,,,,,,,,,,,,
8,10,1991,rio branco,,20.343714764224202,AC,55.5,,,,,,,,,,,,,,,,,
9,10,1991,rio branco,,20.343714764224202,AC,53.47,,,,,,,,,,,,,,,,,
10,10,1991,rio branco,,20.343714764224202,AC,50.47,,,,,,,,,,,,,,,,,
11,10,1991,rio branco,,20.343714764224202,AC,47.54,,,,,,,,,,,,,,,,,
