ano,mes,estacao,chuva,codigo_estacao,municipio,uf,areakm,estado,precipitacao_total_mm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1992,8,8150000,3.4645161290322584,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,8,8251001,2.7096774193548385,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,9,51002,1.1166666666666667,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,9,771001,2.0633333333333335,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,9,872000,1.6033333333333333,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,9,972000,1.8066666666666669,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,9,1068000,3.7066666666666666,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,9,8050000,0.04,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,9,8051010,0.0,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,9,8051012,2.7333333333333334,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,9,8052000,3.103333333333333,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,9,8150000,0.19666666666666668,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,9,8251001,0.6300000000000001,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,10,51002,0.0,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,10,771001,2.3169811320754716,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,10,872000,1.2229508196721313,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,10,972000,4.858064516129033,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,10,1068000,2.8774193548387097,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,10,8050000,0.0,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,10,8051010,0.0,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,10,8051012,3.858064516129032,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,10,8052000,0.42903225806451617,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,10,8150000,0.016129032258064516,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,10,8251001,1.7483870967741937,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,11,51002,2.89,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,11,771001,3.821276595744681,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1992,11,872000,1.45,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,11,972000,5.2,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1992,11,1068000,4.26,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1992,11,8050000,0.7466666666666666,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,11,8051010,0.6833333333333333,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1992,11,8051012,1.8166666666666667,8051012,porto grande,AP,,,,,,,,,,,,,,,,,,,
1992,11,8052000,2.0966666666666667,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1992,11,8150000,0.7266666666666667,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1992,11,8251001,2.23,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1992,12,51002,1.1354838709677417,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1992,12,771001,,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
